"STATION","NAME","DATE","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFM","WESD","WSF2","WSF5","WSFM","WT01","WT02","WT05","WT07","WT08","WT09","WT13","WT16","WT18","WT19"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-26","  100",,,,"0.00","    0","0.0","0.0",,"59","56","    0",,,"  180",,,,"8.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-27","   20",,,,"0.00","   85","0.0","0.0",,"72","54","  636",,,"  225",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-28","   10",,,,"0.00","  100","0.0","0.0",,"70","53","  744",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-29","   40",,,,"0.00","   93","0.0","0.0",,"65","54","  690",,,"  225",,,,"13.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-30","  100",,,,"0.10","   32","0.0","0.0",,"62","53","  240",,,"  180",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-03-31","   10",,,,"0.00","  100","0.0","0.0",,"67","48","  750",,,"  225",,,,"21.9",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-01","    0",,,,"0.00","  100","0.0","0.0",,"72","52","  756",,,"  270",,,,"15.0",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-02","   10",,,,"0.00","  100","0.0","0.0",,"75","49","  756",,,"  225",,,,"14.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-03","    0",,,,"0.00","  100","0.0","0.0",,"73","51","  756",,,"  225",,,,"12.1",,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","1970-04-04","    0",,,,"0.00","  100","0.0","0.0",,"81","53","  762",,,"  225",,,,"15.0",,,,,,,,,,
